"time","latin_america.vars.lifeExpectancy"
1960,55.604649
1960,55.604649
1960,55.604649
1961,55.604649
1961,56.43658015186243
1962,56.43658015186243
1962,56.94439110732758
1963,56.94439110732758
1963,57.48824747645514
1964,57.48824747645514
1964,58.02396357332813
1965,58.02396357332813
1965,58.5635938927815
1966,58.5635938927815
1966,59.13301197516363
1967,59.13301197516363
1967,59.62372334262367
1968,59.62372334262367
1968,60.13529223376477
1969,60.13529223376477
1969,60.59576862797148
1970,60.59576862797148
1970,61.04016297339492
1970.9,61.04016297339492
1970.9,61.04016297339492
1971,61.04016297339492
1971,61.37217904803094
1972,61.37217904803094
1972,61.65017598016164
1973,61.65017598016164
1973,61.93963303625873
1974,61.93963303625873
1974,62.25415221129629
1975,62.25415221129629
1975,62.59402921982485
1976,62.59402921982485
1976,62.95454127081534
1977,62.95454127081534
1977,63.32809672656477
1978,63.32809672656477
1978,63.68600734804145
1979,63.68600734804145
1979,64.10496899900072
1980,64.10496899900072
1980,64.54578806753352
1981,64.54578806753352
1981,64.99633191969195
1982,64.99633191969195
1982,65.45437395429562
1983,65.45437395429562
1983,65.9179733317572
1984,65.9179733317572
1984,66.38485950869631
1985,66.38485950869631
1985,66.84728572471519
1986,66.84728572471519
1986,67.2964845678037
1987,67.2964845678037
1987,67.72757025244746
1988,67.72757025244746
1988,68.13635188588158
1989,68.13635188588158
1989,68.51767680132801
1990,68.51767680132801
1990,68.86945309124467
1991,68.86945309124467
1991,69.18325583317996
1992,69.18325583317996
1992,69.44736437743913
1993,69.44736437743913
1993,69.64752019959346
1994,69.64752019959346
1994,69.76700963850827
1995,69.76700963850827
1995,69.7861196667241
1996,69.7861196667241
1996,69.68100331090631
1997,69.68100331090631
1997,69.73670015757534
1998,69.73670015757534
1998,69.87767730916681
1999,69.87767730916681
1999,70.01307111995794
2000,70.01307111995794
2000,70.15045903681744
2001,70.15045903681744
